label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,537,125,28,22,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,637,164,42,42,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,193,185,55,36,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,71,182,63,46,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,235,273,82,82,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,488,184,49,45,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,35,118,27,15,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,389,140,34,27,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,353,136,29,19,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,352,140,34,27,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,244,182,51,50,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,324,171,39,32,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,366,185,44,48,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,431,193,48,41,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,435,168,33,23,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,533,176,41,33,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,673,188,47,50,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,606,285,108,80,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,435,278,75,76,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,337,260,72,92,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,317,349,88,56,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,439,353,94,52,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,1,252,71,86,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,68,258,76,82,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,132,274,97,84,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,63,346,117,59,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,510,137,33,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,583,133,41,31,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,130,177,61,52,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,13,173,77,53,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,115,134,46,31,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,274,135,32,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,626,111,47,37,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,678,162,42,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,277,160,45,42,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,161,127,30,20,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,198,139,37,22,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,300,127,23,21,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,690,246,30,85,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,541,206,67,37,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,594,204,73,39,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,301,206,60,29,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
