label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,537,125,28,22,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,637,164,42,42,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,193,185,55,36,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,71,182,63,46,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,235,273,82,82,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,488,184,49,45,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,389,140,34,27,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,352,140,34,27,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,244,169,57,63,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,324,171,39,32,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,364,185,47,52,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,431,193,48,41,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,435,168,33,23,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,530,171,39,38,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,673,188,47,50,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,606,285,108,80,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,437,278,74,78,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,337,260,72,92,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,317,349,88,56,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,439,353,94,52,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,1,252,71,86,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,68,258,76,82,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,132,274,97,84,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,63,346,117,59,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,510,137,33,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,583,133,41,31,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,130,177,61,52,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,13,173,77,53,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,115,134,46,29,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,274,135,32,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,626,111,47,37,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,678,162,42,25,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,277,160,45,42,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,161,127,30,20,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,297,126,26,22,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,690,246,30,85,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,544,211,65,29,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,602,213,65,29,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,301,208,60,28,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,467,154,40,13,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,545,155,42,13,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,229,152,41,15,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,198,371,112,33,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,515,305,97,65,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,580,191,56,20,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,314,152,32,14,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,430,136,27,26,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,0,185,30,40,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
car,0,369,57,36,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
parking_space,159,155,34,10,1_aikfm1EkB6gOZDX_oLw5rw.webp,720,405
